date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2018-07-25 15:13:52,ped,Intersection,,L ST,E SIXTH ST,781815.500000000000,2946769.140000000000,-71.0353003384521,42.3331452889312
2017-01-01 06:01:43,ped,Street,SARATOGA ST,PUTNAM ST,BROOKS ST,782528.610000000000,2963116.040000000000,-71.0323961446352,42.3780849623434
2022-04-04 00:52:46,ped,Intersection,,KNEELAND ST,HUDSON ST,775040.180000000000,2952982.160000000000,-71.0602393003057,42.3502925819012
2021-10-16 10:26:47,ped,Intersection,,NEWMARKET SQ,THEODORE A GLYNN WAY,772833.210000000000,2945873.090000000000,-71.0685367278882,42.3308160248385
2015-12-03 18:18:40,ped,Intersection,,COMMONWEALTH AVE,HARRY AGGANIS WAY,759284.140000000000,2953366.160000000000,-71.1185201981547,42.3515545023879
2015-08-15 02:23:48,mv,Street,ATLANTIC AVE,KNEELAND ST,BEACH ST,775890.160000000000,2952998.630000000000,-71.0567181961455,42.3502267187091
2016-07-07 18:03:52,ped,Intersection,,THAYER ST,ALBANY ST,774336.920000000000,2950017.400000000000,-71.0628971264231,42.3421671276961
2022-08-02 21:58:18,ped,Intersection,,WALNUT AVE,SEAVER ST,765692.460000000000,2939485.750000000000,-71.0950569482386,42.3133849971376
2017-09-20 21:18:34,ped,Intersection,,MELNEA CASS BLVD,WASHINGTON ST,769445.790000000000,2946609.710000000000,-71.0810507435509,42.3328836910882
2016-01-13 08:05:05,ped,Street,WASHINGTON ST,VASSAR ST,BOWDOIN AVE,771273.090000000000,2934578.850000000000,-71.0743329477316,42.2999632813652
2021-03-12 21:40:32,ped,Street,CHESTNUT HILL AVE,EMBASSY RD,CHISWICK RD,749463.420000000000,2949624.510000000000,-71.1546811769696,42.3413228973065
2019-01-10 18:48:26,ped,Street,MELNEA CASS BLVD,MASSACHUSETTS AVE,HAMPDEN ST,771429.170000000000,2946319.640000000000,-71.0734895275484,42.3318205933612
2016-11-28 22:59:25,mv,Intersection,,BYRON ST,WILLIAM F MCCLELLAN HWY,785839.590000000000,2965621.890000000000,-71.0200254382502,42.3848162928279
2016-04-10 19:45:43,mv,Intersection,,ELM HILL AVE,SEAVER ST,767333.100000000000,2937399.370000000000,-71.0890283593573,42.3076383228261
2016-04-23 13:18:42,ped,Street,NASSAU ST,ASH ST,HARRISON AVE,774305.240000000000,2952361.440000000000,-71.0628667436661,42.3488087487033
2021-07-03 06:58:22,ped,Intersection,,WELD ST,WEST ROXBURY PKWY,751934.500000000000,2932264.360000000000,-71.1460338261657,42.293737094797
2016-08-24 05:17:44,ped,Street,NEWTON ST,ALBANY ST,HARRISON AVE,772166.540000000000,2947905.900000000000,-71.0707888067283,42.3365171449615
2020-01-07 20:41:11,ped,Intersection,,MASSACHUSETTS AVE,MELNEA CASS BLVD,771859.870000000000,2946498.890000000000,-71.0721247311405,42.332546701468
2017-12-22 04:49:18,mv,Intersection,,COLUMBUS AVE,HEATH ST,764770.900000000000,2943692.750000000000,-71.098390876614,42.3249411632241
2016-12-31 02:08:40,mv,Intersection,,AMERICAN LEGION HWY,WALK HILL ST,762564.280000000000,2930126.110000000000,-71.1067820422902,42.287741779283
2020-08-18 11:29:22,mv,Intersection,,FORSYTH WAY,HEMENWAY ST,766321.340000000000,2949026.050000000000,-71.0925633079785,42.3395557617882
2021-01-05 11:30:59,ped,Intersection,,CHELSEA ST,RUTHERFORD AVE,774509.730000000000,2960509.690000000000,-71.0620585950064,42.3709557409986
2017-04-09 18:33:45,mv,Street,WOOD AVE,MARIPOSA ST,RUSKINDALE RD,761677.790000000000,2923836.370000000000,-71.1101691634124,42.2704936131612
2016-01-12 16:41:34,ped,Street,WASHINGTON ST,HAYDN ST,BLUE LEDGE DR,753961.800000000000,2926241.170000000000,-71.1384442251003,42.2770639791597
2018-01-12 16:00:51,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.0881353089212,42.3481176082523
2015-01-21 20:08:47,ped,Street,CENTRE ST,RITCHIE ST,LAMARTINE ST,764320.750000000000,2942908.640000000000,-71.1000711834812,42.3227790120681
